Posição,Nome Competidor,ID Competidor,Nacionalidade,1,2,3,4,5,6,7,8,9,10,11,12,13,1Q,2Q,3Q,4Q,5Q,6Q,Total,Nett
4,"BENJAMIN BILDSTEIN, DAVID HUSSL",507,AUT,2.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,(20.0),12.0,20.0,2.0,6.0,-,-,-,-,-,-,81.0,61.0
4,"LILI SEBESI, ALBANE DUBOIS",2799,FRA,2.0,12.0,6.0,(18.0),14.0,7.0,6.0,4.0,9.0,6.0,6.0,8.0,-,-,-,-,-,-,-,106.0,88.0
4,"ANNE-MARIE
  RINDOM",318,DEN,1.0,3.0,2.0,2.0,(18.0),10.0,-,-,-,-,-,-,-,20.0,15.0,4.0,(38.0),-,-,113.0,57.0
4,JEAN BAPTISTE BERNAZ,2154,FRA,1.0,(7.0),1.0,1.0,4.0,1.0,-,-,-,-,-,-,-,(43.0),1.0,3.0,32.0,1.0,21.0,116.0,66.0
4,"DOLORES
  MOREIRA FRASCHINI",1155,URU,15.0,25.0,(36.0),16.0,34.0,-,-,-,-,-,-,-,-,(54.0),10.0,35.0,3.0,6.0,-,234.0,144.0
4,JULIO ALSOGARAY,2417,ARG,(43.0),18.0,16.0,13.0,12.0,17.0,-,-,-,-,-,-,-,(43.0),10.0,6.0,6.0,5.0,4.0,193.0,107.0
4,ARTHIT MIKHAIL ROMANYK,382,THA,27.0,19.0,28.0,28.0,30.0,(33.0),-,-,-,-,-,-,-,2.0,7.0,4.0,(43.0),6.0,4.0,231.0,155.0
5,ELLIOT HANSON,1263,GBR,2.0,8.0,2.0,8.0,3.0,(14.0),-,-,-,-,-,-,-,3.0,2.0,12.0,10.0,16.0,(19.0),99.0,66.0
5,"VICTORIA JURCZOK, ANIKA LORENZ",5029,GER,8.0,3.0,1.0,7.0,3.0,9.0,13.0,(17.0),12.0,14.0,15.0,2.0,-,-,-,-,-,-,-,106.0,89.0
5,ETHAN MCAULLAY,1362,AUS,9.0,17.0,20.0,14.0,11.0,(24.0),-,-,-,-,-,-,-,10.0,17.0,5.0,8.0,3.0,(27.0),165.0,114.0
5,"WILLIAM PHILLIPS, SAM PHILLIPS",5146,,(13.0),3.0,11.0,2.0,5.0,1.0,4.0,13.0,9.0,5.0,8.0,13.0,7.0,-,-,-,-,-,-,101.0,88.0
5,GUSTAVO CORREA NASCIMENTO,1758,BRA,29.0,(34.0),22.0,29.0,27.0,21.0,-,-,-,-,-,-,-,4.0,2.0,1.0,(43.0),7.0,23.0,242.0,165.0
5,CLARA GRAVELY,908,CAN,(47.0),45.0,17.0,20.0,19.0,-,-,-,-,-,-,-,-,25.0,16.0,4.0,1.0,(54.0),-,248.0,147.0
