,RANK,NAT,SAILNO,HELMNAME,HELMID,Q1,Q2,Q3,Q4,Q5,Q6,F1,F2,F3,F4,M/F5,TOTAL,NETT
89,90TH,AUS,217316,MICHAEL COMPTON,AUSMC55,15.0-0-0-0-0,32.0-0-0,23.0-0-0,15.0-0-0,22.0-0-0,30.0-0-0,35.0-0-0,43.0-0-0,44.0-1-0,39.0-0-0,298.0-0-0,254.0,
90,91ST,CAN,219066,NORMAN STRUTHERS,CANNS14,40.0-0-0-0-0,38.0-0-0,22.0-0-0,23.0-0-0,19.0-0-0,26.0-0-0,16.0-0-0,35.0-0-0,36.0-0-0,41.0-1-0,296.0-0-0,255.0,
91,92ND,BER,223238,SEBASTIAN KEMPE,BERSK6,34.0-0-0-0-0,28.0-0-0,6.0-0-0,18.0-0-0,40.0-0-0,38.0-0-0,36.0-0-0,32.0-0-0,24.0-0-0,52.0-1-DNC,308.0-0-0,256.0,
92,93RD,USA,157851,LEO BOUCHER,USALB71,9.0-0-0-0-0,28.0-0-0,27.0-0-30%,15.0-0-0,52.0-1-RET,20.0-0-0,43.0-0-0,40.0-0-0,34.0-0-0,40.0-0-0,308.0-0-0,256.0,
93,94TH,JPN,216228,KAZUMASA SEGAWA,JPNKS28,40.0-1-0-0-0,29.0-0-0,32.0-0-0,34.0-0-0,35.0-0-0,17.0-0-0,23.0-0-0,28.0-0-0,28.0-0-0,32.0-0-0,298.0-0-0,258.0,
94,95TH,LTU,223708,MARTIS PAJARSKAS,LTUMP1,43.0-0-0-0-0,33.0-0-0,27.0-0-0,13.0-0-0,25.0-0-0,18.0-0-0,44.0-1-0,30.0-0-0,35.0-0-0,38.0-0-0,306.0-0-0,262.0,
95,96TH,ISR,214931,MAOR BEN HAROSH,ISRMB2,28.0-0-0-0-0,34.0-0-0,32.0-0-0,20.0-0-0,12.0-0-0,37.0-0-0,45.0-1-0,42.0-0-0,37.0-0-0,45.0-0-0,332.0-0-0,287.0,
96,97TH,AUS,221956,ISAAC SCHOTTE,AUSIS14,31.0-0-0-0-0,26.0-0-0,18.0-0-0,30.0-0-0,52.0-1-BFD,44.0-0-0,33.0-0-0,48.0-0-0,42.0-0-0,37.0-0-0,361.0-0-0,309.0,
97,98TH,ARG,220573,JUAN PABLO CARDOZO,ARGJC27,36.0-0-0-0-0,24.0-0-0,52.0-1-UFD,29.0-0-0,23.0-0-0,24.0-0-0,47.0-0-0,44.0-0-0,38.0-0-0,48.0-0-0,365.0-0-0,313.0,
98,99TH,MON,221812,JEREMY MOUTOUT,MONJM1,31.0-0-0-0-0,40.0-0-0,30.0-0-0,30.0-0-0,23.0-0-0,34.0-0-0,46.0-0-0,46.0-0-0,40.0-0-0,47.0-1-0,367.0-0-0,320.0,
