Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata,Descarte
9BENGTSON EMIL,7,Ilca 7,4.0,G,26,0,178,142,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
VADNAI BENJAMIN,7,Ilca 7,19.0,G,27,0,179,145,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
KARIM FILLAH,7,Ilca 7,13.0,G,28,0,179,145,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
MARQUES EDUARDO,7,Ilca 7,5.0,G,29,0,190,149,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
VAN LAER WANNES,7,Ilca 7,22.0,G,30,0,189,154,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
CARDONA JOAN,7,Ilca 7,3.0,G,31,0,195,155,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
UUSITALO VALTTERI,7,Ilca 7,7.0,G,32,0,188,155,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
DE SMET WILLIAM,7,Ilca 7,6.0,G,33,0,200,156,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
LITTLEWOOD ZAC,7,Ilca 7,1.0,G,34,0,201,157,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
BOITE ALEXANDRE,7,Ilca 7,14.0,G,35,0,197,158,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
DUKIC MILIVOJ,7,Ilca 7,25.0,G,36,0,203,165,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
CITAK YIGIT YALCIN,7,Ilca 7,13.0,G,37,0,216,172,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
SARAVANAN VISHNU,7,Ilca 7,5.0,G,38,0,216,172,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
COCCOLUTO GIORGETTI G,7,Ilca 7,21.0,G,39,0,213,175,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
BOUGIOURIS ADONIS,7,Ilca 7,11.0,G,40,0,226,185,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
ZELKO ZAN LUKA,7,Ilca 7,19.0,G,41,0,228,186,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
PERONI DIMITRI,7,Ilca 7,12.0,G,42,0,227,188,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
PLANCHESTAINER GIANMAR,7,Ilca 7,17.0,G,43,0,246,202,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
NAUJOCK NICO,7,Ilca 7,17.0,G,44,0,113,82,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
GUARAGNA RIGONAT FRAN,7,Ilca 7,17.0,G,45,0,117,97,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
RUITENBERG LUKE,7,Ilca 7,20.0,G,46,0,151,115,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
SANTIAGO VILLAX SAMPAIO,7,Ilca 7,31.0,G,47,0,152,121,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
KING SAMUEL,7,Ilca 7,25.0,G,48,0,153,123,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
ROMANYK ARTHIT MIKHAIL,7,Ilca 7,14.0,G,49,0,168,124,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
GOLANI OMER,7,Ilca 7,38.0,G,50,0,162,124,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
TEPLY VIKTOR,7,Ilca 7,32.0,G,51,0,164,132,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
OLEZZA FACUNDO,7,Ilca 7,15.0,G,52,0,174,136,Semaine Olympique Francaise De Voile 2022,"Ra. 1
1",0
